"cell","n_records","y","toc_median","mask","n_sites","y_sd","x_lon","y_lat"
3378452,1,-0.886056647693163,0.12,"deep",1,NA,-14.85000050361,-3.84999993470815
3378611,1,-0.481486060122112,0.32,"deep",1,NA,1.05000003560878,-3.84999993470815
3379148,1,-0.508638306165727,0.3,"shelf",1,NA,54.7500018567439,-3.84999993470815
3381820,1,-0.244125144327509,0.56,"shelf",1,NA,-38.0500012903946,-3.94999993301226
3381823,1,-0.214670164989233,0.6,"shelf",1,NA,-37.7500012802207,-3.94999993301226
3381827,1,-0.0555173278498314,0.87,"deep",1,NA,-37.3500012666554,-3.94999993301226
3385420,1,-0.638272163982407,0.22,"shelf",1,NA,-38.0500012903946,-4.04999993131638
3385422,2,-0.494638067304113,0.32,"shelf",2,NA,-37.850001283612,-4.04999993131638
3385426,2,-0.0868006089061912,0.96,"deep",2,NA,-37.4500012700467,-4.04999993131638
3385428,1,-0.187086643357144,0.64,"deep",1,NA,-37.2500012632641,-4.04999993131638
3385544,3,-0.0997181416533083,0.77,"deep",3,0.0358518853931418,-25.6500008698718,-4.04999993131638
3389024,1,-0.292429823902064,0.5,"shelf",1,NA,-37.6500012768294,-4.14999992962048
3389027,1,-0.337242168318426,0.45,"deep",1,NA,-37.3500012666554,-4.14999992962048
3389028,1,0.00860017176191757,1.01,"deep",1,NA,-37.2500012632641,-4.14999992962048
3389493,1,0.324282455297693,2.1,"deep",1,NA,9.25000031369646,-4.14999992962048
3390415,9,0.0642317109415247,1.12,"deep",1,NA,101.450003440487,-4.14999992962048
3391536,2,-0.0705810742857073,0.84,"deep",2,NA,-146.450004966578,-4.24999992792459
3391961,1,-0.920818753952375,0.11,"deep",1,NA,-103.95000352527,-4.24999992792459
3392624,1,-0.0861861476162833,0.81,"shelf",1,NA,-37.6500012768294,-4.24999992792459
3392626,1,-0.522878745280338,0.29,"shelf",1,NA,-37.4500012700467,-4.24999992792459
3392627,1,-0.638272163982407,0.22,"shelf",1,NA,-37.3500012666554,-4.24999992792459
3392630,1,-0.337242168318426,0.45,"deep",1,NA,-37.0500012564815,-4.24999992792459
3392637,1,-0.193820026016113,0.63,"deep",1,NA,-36.3500012327423,-4.24999992792459
3393061,1,-0.148741651280925,0.7,"deep",1,NA,6.05000020517443,-4.24999992792459
3393101,1,0.399673721481038,2.5,"deep",1,NA,10.050000340827,-4.24999992792459
3393548,1,-0.387216143280264,0.4,"shelf",1,NA,54.7500018567439,-4.24999992792459
3395477,1,0.230448921378274,1.69,"deep",1,NA,-112.35000381014,-4.34999992622869
3396226,1,0.0374264979406237,1.08,"shelf",1,NA,-37.4500012700467,-4.34999992622869
3396337,1,-0.886056647693163,0.12,"deep",1,NA,-26.350000893611,-4.34999992622869
3396479,1,-0.744727494896694,0.17,"deep",1,NA,-12.1500004120445,-4.34999992622869
3396498,3,-0.541445462013038,0.24,"deep",2,NA,-10.2500003476096,-4.34999992622869
3397154,1,-0.214670164989233,0.6,"shelf",1,NA,55.3500018770918,-4.34999992622869
3398321,1,-0.0457574905606751,0.89,"deep",1,NA,172.050005834754,-4.34999992622869
3399831,2,-0.182459281994563,0.665,"deep",2,NA,-36.9500012530902,-4.4499999245328
3399832,1,0.0606978403536116,1.14,"deep",1,NA,-36.8500012496989,-4.4499999245328
3407034,2,-0.245735140514357,0.58,"deep",2,NA,-36.6500012429162,-4.64999992114102
3407036,1,0.0413926851582251,1.09,"shelf",1,NA,-36.4500012361336,-4.64999992114102
3410632,1,-0.677780705266081,0.2,"shelf",1,NA,-36.8500012496989,-4.74999991944513
3410633,1,0.0827853703164501,1.2,"shelf",1,NA,-36.7500012463075,-4.74999991944513
3410634,1,-0.568636235841013,0.26,"shelf",1,NA,-36.6500012429162,-4.74999991944513
