"region","lon","lat","obs","pred","e2","DI","AOA","dist_km","depth","exp_C0","exp_C1","exp_C2","exp_C3","exp_C4","exp_C5"
1,-48.4500016430912,-34.3499994174611,-0.0655015487564323,-0.258131496901441,0.0371062969223486,0.266574157245574,1,602.010089417234,3851.46533203125,0.376437526637837,0.381098676929125,0.360513719669472,0.348719423688185,0.32001840537663,0.312259312869064
1,-72.8500024705715,-34.5499994140693,0.36941446627675,0.36181862604568,5.76967888159486e-05,0.174743062722013,1,1901.09857074653,2377.63891601562,0.31932279583037,0.361613986445269,0.341102549188474,0.389926937561933,0.29943576475654,0.300444385800815
1,-72.5500024603976,-34.5499994140693,0.311753861055754,0.394199099910774,0.00679721740986128,0.203251001385888,1,1905.83131893472,1366.07641601562,0.331336854951169,0.3707073398459,0.351815981264957,0.411915849725264,0.32126115664957,0.314932829833041
1,-53.4500018126568,-34.5499994140693,-0.292429823902064,-0.398976515594041,0.0113521975105053,0.216159521675173,1,853.114584016271,32.2152786254883,0.338390275762368,0.373705479334536,0.34179433565167,0.360432718856788,0.417305415759735,0.414670461431715
1,-51.4500017448306,-34.5499994140693,0.396199347095736,0.0224393548167972,0.139696531828352,0.221067427954485,1,734.070258914954,1560.42358398438,0.341357947869129,0.374693367446089,0.343345709558679,0.332882498989187,0.324630355036993,0.311478459826508
1,-53.3500018092655,-34.6499994123734,0.519827993775719,-0.327434517284763,0.717853762648513,0.263624948597314,1,854.398344839714,56.9444427490234,0.373746107324427,0.380781492002814,0.359682052293882,0.363848161508218,0.421607671530824,0.424619865850561
1,-51.2500017380479,-34.6499994123734,0.0969100130080564,-0.0461156021962631,0.0204563266045741,0.215208139858899,1,733.100358671923,2020.75695800781,0.337833236993605,0.373504829463432,0.341190081833069,0.321507658818239,0.317008160074162,0.305574713312504
1,-51.9500017617871,-35.0499994055898,0.527629900871339,0.0337506851594996,0.243916679712142,0.233703117346587,1,805.808801920948,1281.60412597656,0.349724856181523,0.376907168443045,0.348158384531653,0.340824086501977,0.332690173955817,0.319049264467309
1,-50.7500017210914,-35.0499994055898,-0.0757207139381184,-0.184816089153986,0.011901800893491,0.159994895765764,1,748.32687720475,2976.02783203125,0.314583352021861,0.355139718366185,0.321553926292184,0.296467371789514,0.289024644811339,0.292440034293371
1,-50.5500017143087,-35.1499994038939,0.0791812460476248,-0.252473532859454,0.109994892371903,0.162357065303067,1,749.950639855162,3518.96533203125,0.31529012282093,0.35630273893274,0.322372935937581,0.304163003949707,0.286605977585144,0.291898471851241
