"station","lon","lat","depth_m","campaign","survey","set","ignorance","bio_DI_over_threshold","bio_models_inside_AOA"
"CAMPANHA02_SANSED07_Verao_A_A08",-46.63,-27.3,1000,2,"2021 (Survey 2)","train",0.385618245036675,0.293015690574757,12
"CAMPANHA01_SANSED01_Inverno_A_A09",-46.52,-27.32,1300,1,"2019 (Survey 1)","train",0.285624605427529,0.38327687773726,12
"CAMPANHA02_SANSED07_Verao_A_A09",-46.52,-27.32,1300,2,"2021 (Survey 2)","train",0.499223374536787,0.348408350141707,12
"CAMPANHA01_SANSED01_Inverno_A_A10",-46.22,-27.4,1900,1,"2019 (Survey 1)","train",0.423011943505836,0.433707542023752,12
"CAMPANHA02_SANSED07_Verao_A_A10",-46.22,-27.4,1900,2,"2021 (Survey 2)","train",0.328414713134511,0.384955018797121,12
"CAMPANHA01_SANSED01_Inverno_A_A11",-45.66,-27.54,2400,1,"2019 (Survey 1)","train",0.30211537372624,0.356019344253823,12
"CAMPANHA02_SANSED07_Verao_A_A11",-45.66,-27.54,2400,2,"2021 (Survey 2)","train",0.31099014391461,0.382501481982097,12
"CAMPANHA02_SANSED09_Outono_B_B01",-48.08,-25.71,25,2,"2021 (Survey 2)","test",0.934172700060231,0.689662960431233,10
"CAMPANHA01_SANSED06_Primavera_B_B01",-48.08,-25.71,25,1,"2019 (Survey 1)","train",0.451314495983837,0.660001326278938,12
"CAMPANHA02_SANSED09_Outono_B_B02",-47.78,-25.8666666666667,50,2,"2021 (Survey 2)","train",0.694207328318821,0.435351349453604,12
"CAMPANHA01_SANSED06_Primavera_B_B02",-47.78,-25.87,50,1,"2019 (Survey 1)","train",0.255163669876719,0.431065945662663,12
"CAMPANHA02_SANSED09_Outono_B_B03",-47.44,-26.04,75,2,"2021 (Survey 2)","train",0.252991343202705,0.708762440473601,12
"CAMPANHA01_SANSED06_Primavera_B_B03",-47.44,-26.04,75,1,"2019 (Survey 1)","test",0.417569635739417,0.723815281975581,12
"CAMPANHA02_SANSED09_Outono_B_B04",-47.22,-26.16,100,2,"2021 (Survey 2)","train",0.442312651977707,0.585447220836056,12
"CAMPANHA01_SANSED06_Primavera_B_B04",-47.22,-26.16,100,1,"2019 (Survey 1)","train",0.336242668330106,0.692344560983693,12
"CAMPANHA02_SANSED09_Outono_B_B05",-46.77,-26.38,150,2,"2021 (Survey 2)","train",0.130209888380074,0.687351904300631,12
"CAMPANHA01_SANSED06_Primavera_B_B05",-46.77,-26.38,150,1,"2019 (Survey 1)","test",0.638568727650626,0.78369142126765,12
"CAMPANHA01_SANSED01_Inverno_B_B06",-46.43,-26.59,400,1,"2019 (Survey 1)","train",0.361585522512187,0.441325818960547,12
"CAMPANHA02_SANSED07_Verao_B_B06",-46.43,-26.59,400,2,"2021 (Survey 2)","test",0.322916853730173,0.443144747321939,12
"CAMPANHA01_SANSED01_Inverno_B_B07",-46.07,-26.75,700,1,"2019 (Survey 1)","train",0.222786044024051,0.329035943374842,12
"CAMPANHA02_SANSED07_Verao_B_B07",-46.07,-26.75,700,2,"2021 (Survey 2)","train",0.123605238277878,0.308832122187948,12
"CAMPANHA01_SANSED01_Inverno_B_B08",-45.98,-26.8,1000,1,"2019 (Survey 1)","train",0.308873026999496,0.367466617174468,12
"CAMPANHA02_SANSED07_Verao_B_B08",-45.98,-26.8,1000,2,"2021 (Survey 2)","train",0.324157765017894,0.262559365923646,12
"CAMPANHA01_SANSED01_Inverno_B_B09",-45.92,-26.83,1300,1,"2019 (Survey 1)","train",0.16969102458225,0.405894215162537,12
"CAMPANHA02_SANSED07_Verao_B_B09",-45.92,-26.83,1300,2,"2021 (Survey 2)","train",0.212136229218213,0.233187434479758,12
"CAMPANHA01_SANSED01_Inverno_B_B10",-45.76,-26.92,1900,1,"2019 (Survey 1)","train",0.158859105553542,0.362177972006938,12
"CAMPANHA02_SANSED07_Verao_B_B10",-45.76,-26.92,1900,2,"2021 (Survey 2)","train",0.605351242346782,0.462015097052187,12
"CAMPANHA01_SANSED01_Inverno_B_B11",-45.36,-27.12,2400,1,"2019 (Survey 1)","train",0.148249447069372,0.37285233785826,12
"CAMPANHA02_SANSED07_Verao_B_B11",-45.36,-27.12,2400,2,"2021 (Survey 2)","train",0.458262821844854,0.381978963726299,12
"CAMPANHA02_SANSED09_Outono_C_C01",-47.2,-24.76,25,2,"2021 (Survey 2)","train",1.45451046002696,0.740293820811388,12
"CAMPANHA01_SANSED06_Primavera_C_C01",-47.2,-24.76,25,1,"2019 (Survey 1)","train",0.712539936622669,0.760388215381009,12
"CAMPANHA02_SANSED09_Outono_C_C02",-46.89,-25.03,50,2,"2021 (Survey 2)","train",0.311690502006249,0.435351349453604,12
"CAMPANHA01_SANSED06_Primavera_C_C02",-46.89,-25.03,50,1,"2019 (Survey 1)","train",0.390278229250739,0.431065945662663,12
"CAMPANHA02_SANSED09_Outono_C_C03",-46.59,-25.31,75,2,"2021 (Survey 2)","train",0.180176645942477,0.645321261484193,12
"CAMPANHA01_SANSED06_Primavera_C_C03",-46.59,-25.31,75,1,"2019 (Survey 1)","train",0.480625251853181,0.730041901392,12
"CAMPANHA02_SANSED09_Outono_C_C04",-46.42,-25.4666666666667,100,2,"2021 (Survey 2)","test",0.175566463765848,0.654394691010845,12
"CAMPANHA01_SANSED06_Primavera_C_C04",-46.42,-25.47,100,1,"2019 (Survey 1)","train",0.374868384821983,0.672980917697576,12
"CAMPANHA02_SANSED09_Outono_C_C05",-46.16,-25.69,150,2,"2021 (Survey 2)","train",0.441710665630883,0.563261781135593,12
"CAMPANHA01_SANSED06_Primavera_C_C05",-46.16,-25.69,150,1,"2019 (Survey 1)","train",0.300921593252202,0.789343239441208,12
"CAMPANHA01_SANSED01_Inverno_C_C06",-45.79,-26.03,400,1,"2019 (Survey 1)","test",0.197731079128869,0.477144456203946,12
"CAMPANHA02_SANSED07_Verao_C_C06",-45.79,-26.03,400,2,"2021 (Survey 2)","train",0.178580155871997,0.496576539450704,12
"CAMPANHA01_SANSED01_Inverno_C_C07",-45.61,-26.2,700,1,"2019 (Survey 1)","test",0.339901159599845,0.345536493920732,12
"CAMPANHA02_SANSED07_Verao_C_C07",-45.61,-26.2,700,2,"2021 (Survey 2)","test",0.348685500368796,0.271444163087613,12
"CAMPANHA01_SANSED01_Inverno_C_C08",-45.56,-26.24,1000,1,"2019 (Survey 1)","train",0.317181693083806,0.320983208252229,12
"CAMPANHA02_SANSED07_Verao_C_C08",-45.56,-26.24,1000,2,"2021 (Survey 2)","train",0.540904144795179,0.365801516517042,12
"CAMPANHA01_SANSED01_Inverno_C_C09",-45.51,-26.29,1300,1,"2019 (Survey 1)","train",0.282157443517304,0.364400932234673,12
"CAMPANHA02_SANSED07_Verao_C_C09",-45.51,-26.2833333333333,1300,2,"2021 (Survey 2)","train",0.373292441738167,0.233187434479758,12
"CAMPANHA01_SANSED01_Inverno_C_C10",-45.41,-26.38,1900,1,"2019 (Survey 1)","train",0.292832718579951,0.372773975908477,12
"CAMPANHA02_SANSED07_Verao_C_C10",-45.41,-26.38,1900,2,"2021 (Survey 2)","train",0.4356008934473,0.403543585866023,12
"CAMPANHA01_SANSED01_Inverno_C_C11",-45.07,-26.68,2400,1,"2019 (Survey 1)","train",0.416232991220657,0.314536082269179,12
"CAMPANHA02_SANSED07_Verao_C_C11",-45.07,-26.68,2400,2,"2021 (Survey 2)","train",0.41075924798716,0.411778519132362,12
"CAMPANHA02_SANSED09_Outono_D_D01",-46.37,-24.16,25,2,"2021 (Survey 2)","test",0.897737066664309,0.576697775255175,12
"CAMPANHA01_SANSED06_Primavera_D_D01",-46.37,-24.16,25,1,"2019 (Survey 1)","train",0.301090719897054,1.04081013327721,3
"CAMPANHA02_SANSED09_Outono_D_D02",-46.14,-24.43,50,2,"2021 (Survey 2)","train",0.535500532753268,0.556273377463282,12
"CAMPANHA01_SANSED06_Primavera_D_D02",-46.14,-24.43,50,1,"2019 (Survey 1)","train",0.292668385629082,0.991689233548887,4
"CAMPANHA02_SANSED09_Outono_D_D03",-45.84,-24.78,75,2,"2021 (Survey 2)","train",0.511190068360018,0.598153033821609,12
"CAMPANHA01_SANSED06_Primavera_D_D03",-45.84,-24.78,75,1,"2019 (Survey 1)","train",0.201318278711709,0.596083449464176,12
